STATE/UT,YEAR,Pupose,Total No. of cases reported,Male upto 10 years,Female upto 10 years,Male 10-15 years,Female 10-15 years,Male 15-18 years,Female 15-18 years,Male 18-30 years,Female 18-30 years,Male 30-50 years,Female 30-50 years,Male above 50 years,Female above 50 years,Total Male,Total Female,Grand Total
Andhra Pradesh,2006,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2006,For Illicit intercourse,111,0,0,0,40,0,18,0,52,0,1,0,0,0,111,111
Andhra Pradesh,2006,For marriage,651,0,0,0,92,1,161,6,401,0,14,0,0,7,668,675
Andhra Pradesh,2006,For Prostitution,53,0,0,0,3,0,5,22,23,0,0,0,0,22,31,53
Andhra Pradesh,2006,For Ransom,30,3,2,0,0,0,0,25,0,0,0,0,0,28,2,30
Andhra Pradesh,2006,For Revenge,37,1,5,0,0,0,0,15,8,12,0,2,0,30,13,43
Andhra Pradesh,2006,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2006,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2006,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2006,For unlawaful activity,96,0,0,0,0,0,0,52,6,28,10,0,0,80,16,96
Andhra Pradesh,2006,Others,1051,12,26,20,54,9,45,269,304,247,60,6,2,563,491,1054
Andhra Pradesh,2006,Total,2030,16,33,21,189,10,229,389,794,287,85,8,2,731,1332,2063
Andhra Pradesh,2007,For Adoption,5,1,0,1,0,0,0,1,2,0,0,0,0,3,2,5
Andhra Pradesh,2007,For Begging,6,1,0,0,1,0,0,4,0,0,0,0,0,5,1,6
Andhra Pradesh,2007,For Camel racing,3,0,0,0,0,0,0,0,1,0,2,0,0,0,3,3
Andhra Pradesh,2007,For Illicit intercourse,228,0,0,0,44,2,79,0,62,0,36,0,3,2,224,226
Andhra Pradesh,2007,For marriage,705,2,1,0,101,2,209,55,304,4,27,0,1,63,643,706
Andhra Pradesh,2007,For Prostitution,34,0,0,0,1,0,9,2,23,0,0,0,0,2,33,35
Andhra Pradesh,2007,For Ransom,21,4,1,1,0,0,0,3,3,7,0,2,0,17,4,21
Andhra Pradesh,2007,For Revenge,32,3,4,1,1,0,0,18,5,3,0,7,1,32,11,43
Andhra Pradesh,2007,For Sale,4,2,2,1,0,0,0,0,0,0,0,0,0,3,2,5
Andhra Pradesh,2007,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2007,For Slavery,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
Andhra Pradesh,2007,For unlawaful activity,95,3,1,3,1,1,2,43,24,16,1,0,0,66,29,95
Andhra Pradesh,2007,Others,962,24,22,12,33,9,25,155,380,118,144,20,12,338,616,954
Andhra Pradesh,2007,Total,2097,40,31,19,182,14,324,281,804,150,210,29,17,533,1568,2101
Andhra Pradesh,2008,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2008,For Begging,18,1,0,0,0,0,0,13,0,0,4,0,0,14,4,18
Andhra Pradesh,2008,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2008,For Illicit intercourse,147,0,3,0,15,0,27,0,90,0,14,0,0,0,149,149
Andhra Pradesh,2008,For marriage,817,0,2,0,83,0,179,57,449,3,29,0,0,60,742,802
Andhra Pradesh,2008,For Prostitution,34,0,0,0,1,0,7,0,21,0,5,0,0,0,34,34
Andhra Pradesh,2008,For Ransom,10,1,0,0,0,0,0,1,1,5,0,2,0,9,1,10
Andhra Pradesh,2008,For Revenge,61,5,5,2,4,0,0,32,3,5,0,4,1,48,13,61
Andhra Pradesh,2008,For Sale,11,0,0,0,0,0,2,0,3,0,6,0,0,0,11,11
Andhra Pradesh,2008,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2008,For Slavery,7,0,0,0,0,0,0,0,7,0,0,0,0,0,7,7
Andhra Pradesh,2008,For unlawaful activity,80,2,1,1,1,3,2,30,23,16,1,4,1,56,29,85
Andhra Pradesh,2008,Others,785,2,4,13,28,13,26,189,278,156,70,22,3,395,409,804
Andhra Pradesh,2008,Total,1970,11,15,16,132,16,243,322,875,185,129,32,5,582,1399,1981
Andhra Pradesh,2009,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2009,For Begging,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Andhra Pradesh,2009,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2009,For Illicit intercourse,170,0,1,0,2,0,48,11,105,1,2,0,0,12,158,170
Andhra Pradesh,2009,For marriage,722,0,0,1,13,0,318,19,361,9,1,0,0,29,693,722
Andhra Pradesh,2009,For Prostitution,75,0,0,0,1,0,6,7,54,6,1,0,0,13,62,75
Andhra Pradesh,2009,For Ransom,60,2,3,1,8,0,5,3,29,6,2,1,0,13,47,60
Andhra Pradesh,2009,For Revenge,45,6,5,3,5,1,1,8,4,12,0,0,0,30,15,45
Andhra Pradesh,2009,For Sale,7,0,0,0,1,0,1,0,5,0,0,0,0,0,7,7
Andhra Pradesh,2009,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2009,For Slavery,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
Andhra Pradesh,2009,For unlawaful activity,93,2,1,3,2,5,4,25,21,9,15,6,0,50,43,93
Andhra Pradesh,2009,Others,782,16,15,22,2,21,106,121,245,156,63,19,3,355,434,789
Andhra Pradesh,2009,Total,1958,26,26,30,34,27,489,197,824,199,84,26,3,505,1460,1965
Andhra Pradesh,2010,For Adoption,3,1,0,0,0,0,0,0,0,2,0,0,0,3,0,3
Andhra Pradesh,2010,For Begging,3,1,0,1,0,0,0,0,0,1,0,0,0,3,0,3
Andhra Pradesh,2010,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2010,For Illicit intercourse,118,0,0,1,8,0,19,7,73,0,10,0,0,8,110,118
Andhra Pradesh,2010,For marriage,945,0,1,0,85,4,240,12,489,0,114,0,0,16,929,945
Andhra Pradesh,2010,For Prostitution,30,0,0,0,0,0,5,0,10,12,3,0,0,12,18,30
Andhra Pradesh,2010,For Ransom,5,1,1,0,1,0,0,1,0,1,0,0,0,3,2,5
Andhra Pradesh,2010,For Revenge,32,2,1,1,0,0,0,7,11,10,0,0,0,20,12,32
Andhra Pradesh,2010,For Sale,3,0,1,2,0,0,0,0,0,0,0,0,0,2,1,3
Andhra Pradesh,2010,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2010,For Slavery,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
Andhra Pradesh,2010,For unlawaful activity,104,2,0,1,12,0,11,44,11,20,3,0,0,67,37,104
Andhra Pradesh,2010,Others,808,8,35,8,30,16,82,210,155,131,110,13,10,386,422,808
Andhra Pradesh,2010,Total,2053,15,39,14,136,20,357,283,749,177,240,13,10,522,1531,2053
Andhra Pradesh,2011,For Adoption,10,6,4,0,0,0,0,1,0,0,0,0,0,7,4,11
Andhra Pradesh,2011,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2011,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2011,For Illicit intercourse,189,0,2,0,9,0,71,0,86,8,13,0,0,8,181,189
Andhra Pradesh,2011,For marriage,924,0,0,0,125,1,288,4,396,83,26,0,1,88,836,924
Andhra Pradesh,2011,For Prostitution,41,0,0,0,4,0,17,0,19,0,1,0,0,0,41,41
Andhra Pradesh,2011,For Ransom,29,1,1,2,1,0,10,1,12,1,0,0,0,5,24,29
Andhra Pradesh,2011,For Revenge,45,2,1,2,1,1,1,19,13,5,0,0,0,29,16,45
Andhra Pradesh,2011,For Sale,11,1,0,0,0,0,3,0,7,0,0,0,0,1,10,11
Andhra Pradesh,2011,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2011,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2011,For unlawaful activity,131,6,1,2,0,5,5,52,21,27,4,5,3,97,34,131
Andhra Pradesh,2011,Others,774,3,11,7,44,8,89,202,235,72,78,23,9,315,466,781
Andhra Pradesh,2011,Total,2154,19,20,13,184,15,484,279,789,196,122,28,13,550,1612,2162
Andhra Pradesh,2012,For Adoption,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Andhra Pradesh,2012,For Begging,3,1,1,1,0,0,0,0,0,0,0,0,0,2,1,3
Andhra Pradesh,2012,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2012,For Illicit intercourse,107,0,5,0,13,0,38,1,47,0,4,0,0,1,107,108
Andhra Pradesh,2012,For marriage,691,0,5,0,127,1,317,7,220,0,13,0,0,8,682,690
Andhra Pradesh,2012,For Prostitution,8,0,0,0,3,0,0,1,4,0,0,0,0,1,7,8
Andhra Pradesh,2012,For Ransom,14,4,4,0,0,0,0,3,1,1,0,0,1,8,6,14
Andhra Pradesh,2012,For Revenge,25,5,5,1,0,0,0,2,7,4,1,0,0,12,13,25
Andhra Pradesh,2012,For Sale,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2
Andhra Pradesh,2012,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2012,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2012,For unlawaful activity,57,3,1,1,1,1,0,17,0,21,0,12,0,55,2,57
Andhra Pradesh,2012,Others,962,14,20,11,62,6,127,174,271,160,91,20,13,385,584,969
Andhra Pradesh,2012,Total,1870,28,42,15,206,8,482,205,550,186,109,32,14,474,1403,1877
Arunachal Pradesh,2001,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2001,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2001,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2001,For Illicit intercourse,7,0,0,0,0,0,0,0,7,0,0,0,0,0,7,7
Arunachal Pradesh,2001,For marriage,41,0,0,0,0,0,0,0,39,0,2,0,0,0,41,41
Arunachal Pradesh,2001,For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2001,For Ransom,4,0,0,0,0,0,0,2,0,2,0,0,0,4,0,4
Arunachal Pradesh,2001,For Revenge,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Arunachal Pradesh,2001,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2001,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2001,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2001,For unlawaful activity,6,0,0,0,0,0,0,4,2,0,0,0,0,4,2,6
Arunachal Pradesh,2001,Others,24,0,0,0,0,0,0,9,3,10,2,0,0,19,5,24
Arunachal Pradesh,2001,Total,83,0,0,0,0,0,0,16,51,12,4,0,0,28,55,83
Arunachal Pradesh,2002,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2002,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2002,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2002,For Illicit intercourse,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Arunachal Pradesh,2002,For marriage,36,0,0,0,0,0,3,0,32,0,1,0,0,0,36,36
Arunachal Pradesh,2002,For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2002,For Ransom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2002,For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2002,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2002,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2002,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2002,For unlawaful activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2002,Others,20,0,0,0,0,0,0,19,1,0,0,0,0,19,1,20
Arunachal Pradesh,2002,Total,57,0,0,0,0,0,3,19,34,0,1,0,0,19,38,57
Arunachal Pradesh,2003,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2003,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2003,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2003,For Illicit intercourse,9,0,0,0,6,0,0,0,3,0,0,0,0,0,9,9
Arunachal Pradesh,2003,For marriage,47,0,0,0,2,0,0,5,40,0,0,0,0,5,42,47
Arunachal Pradesh,2003,For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2003,For Ransom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2003,For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2003,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2003,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2003,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2003,For unlawaful activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2003,Others,12,0,0,1,0,0,0,11,0,0,0,0,0,12,0,12
Arunachal Pradesh,2003,Total,68,0,0,1,8,0,0,16,43,0,0,0,0,17,51,68
Arunachal Pradesh,2004,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2004,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2004,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2004,For Illicit intercourse,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Arunachal Pradesh,2004,For marriage,35,0,0,0,5,0,0,0,30,0,0,0,0,0,35,35
Arunachal Pradesh,2004,For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2004,For Ransom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2004,For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2004,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2004,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2004,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2004,For unlawaful activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2004,Others,29,0,0,0,3,0,0,18,2,6,0,0,0,24,5,29
Arunachal Pradesh,2004,Total,65,0,0,0,8,0,0,18,33,6,0,0,0,24,41,65
Arunachal Pradesh,2005,For Adoption,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
Arunachal Pradesh,2005,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2005,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2005,For Illicit intercourse,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Arunachal Pradesh,2005,For marriage,30,0,0,0,0,0,2,1,26,0,1,0,0,1,29,30
Arunachal Pradesh,2005,For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2005,For Ransom,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
Arunachal Pradesh,2005,For Revenge,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Arunachal Pradesh,2005,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2005,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2005,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2005,For unlawaful activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2005,Others,22,0,0,3,1,0,0,13,4,1,0,0,0,17,5,22
Arunachal Pradesh,2005,Total,58,0,0,4,6,0,2,14,30,1,1,0,0,19,39,58
Arunachal Pradesh,2006,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2006,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2006,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2006,For Illicit intercourse,7,0,0,0,7,0,0,0,0,0,0,0,0,0,7,7
Arunachal Pradesh,2006,For marriage,42,0,0,0,11,0,7,0,24,0,0,0,0,0,42,42
Arunachal Pradesh,2006,For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2006,For Ransom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2006,For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2006,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2006,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2006,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2006,For unlawaful activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2006,Others,26,0,0,0,2,0,0,19,0,5,0,0,0,24,2,26
Arunachal Pradesh,2006,Total,75,0,0,0,20,0,7,19,24,5,0,0,0,24,51,75
Arunachal Pradesh,2007,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2007,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2007,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2007,For Illicit intercourse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2007,For marriage,35,0,0,0,0,0,0,0,35,0,0,0,0,0,35,35
Arunachal Pradesh,2007,For Prostitution,4,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4
Arunachal Pradesh,2007,For Ransom,8,0,0,0,2,0,0,0,2,4,0,0,0,4,4,8
Arunachal Pradesh,2007,For Revenge,6,0,0,0,1,0,0,5,0,0,0,0,0,5,1,6
Arunachal Pradesh,2007,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2007,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2007,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2007,For unlawaful activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2007,Others,15,0,0,0,0,0,0,8,0,7,0,0,0,15,0,15
